id;name;price;currency;image;image_content_type
1;Steel;31485;calculating cross-platform c;../fake-data/blob/hipster.png;image/png
2;wireless Computer;89830;b Pound withdrawal;../fake-data/blob/hipster.png;image/png
3;deposit d'Assas Metal;83023;Metical Incredible;../fake-data/blob/hipster.png;image/png
4;Sommerard compressing;63810;Bedfordshire;../fake-data/blob/hipster.png;image/png
5;Malagasy intranet;16516;Australian;../fake-data/blob/hipster.png;image/png
6;Business-focused;16911;Midi-Pyrénées;../fake-data/blob/hipster.png;image/png
7;orange Practical;80588;distributed indigo JSON;../fake-data/blob/hipster.png;image/png
8;Personal Steel;15779;intangible la;../fake-data/blob/hipster.png;image/png
9;invoice;96920;De-engineered;../fake-data/blob/hipster.png;image/png
10;b Intelligent;88292;Checking Account Renminbi;../fake-data/blob/hipster.png;image/png
